pt	en	es	ar	ko	ja	zh	hi	id	ru
Cintilar	Flicker	Parpadear	وميض	깜빡임	ちらつき	闪烁	टिमटिमाना	Berkedip	Мерцание
Circulo	Circle	Círculo	دائرة	원	円	圆形	वृत्त	Lingkaran	Круг
Clipe	Clip	Clip	مقطع	클립	クリップ	片段	क्लिप	Klip	Клип
Clipe separado	Separate clip	Clip separado	مقطع منفصل	분리된 클립	別のクリップ	独立片段	अलग क्लिप	Klip terpisah	Отдельный клип
Clonar	Clone	Clonar	استنساخ	클론	クローン	克隆	क्लोन करें	Klon	Клонировать
Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV	Cloudflare KV
Cobertura	Coverage	Cobertura	التغطية	커버리지	カバレッジ	覆盖范围	कवरेज	Cakupan	Покрытие
Codec	Codec	Códec	الترميز	코덱	コーデック	编解码器	कोडेक	Codec	Кодек
Codec, taxa, PNG, Lottie, SVG e template ficam no modo Pro.	Codec, bitrate, PNG, Lottie, SVG and template live in Pro mode.	Códec, tasa de bits, PNG, Lottie, SVG y plantilla están en el modo Pro.	الترميز ومعدل البت وPNG وLottie وSVG والقالب موجودة في وضع Pro.	코덱, 비트레이트, PNG, Lottie, SVG, 템플릿은 Pro 모드에 있습니다.	コーデック、ビットレート、PNG、Lottie、SVG、テンプレートはProモードにあります。	编解码器、码率、PNG、Lottie、SVG 和模板位于 Pro 模式。	कोडेक, बिटरेट, PNG, Lottie, SVG और टेम्पलेट Pro मोड में हैं।	Codec, bitrate, PNG, Lottie, SVG, dan template ada di mode Pro.	Кодек, битрейт, PNG, Lottie, SVG и шаблон находятся в режиме Pro.
Colapsar transformacoes	Collapse transformations	Colapsar transformaciones	طي التحويلات	변형 축소	トランスフォームを折りたたむ	折叠变换	रूपांतरण संकुचित करें	Ciutkan transformasi	Свернуть трансформации
Colar	Paste	Pegar	لصق	붙여넣기	貼り付け	粘贴	पेस्ट करें	Tempel	Вставить
Colar curva	Paste curve	Pegar curva	لصق المنحنى	커브 붙여넣기	カーブを貼り付け	粘贴曲线	कर्व पेस्ट करें	Tempel kurva	Вставить кривую
Cole o código de 48 caracteres gerado na criação da sua conta.	Paste the 48-character code generated when your account was created.	Pega el código de 48 caracteres generado al crear tu cuenta.	الصق الرمز المكوّن من 48 حرفًا الذي تم إنشاؤه عند إنشاء حسابك.	계정을 만들 때 생성된 48자 코드를 붙여넣으세요.	アカウント作成時に生成された48文字のコードを貼り付けてください。	粘贴创建账户时生成的 48 位字符代码。	अपना खाता बनाते समय जनरेट हुआ 48 अक्षरों का कोड पेस्ट करें।	Tempel kode 48 karakter yang dibuat saat akun Anda dibuat.	Вставьте код из 48 символов, созданный при регистрации аккаунта.
COLINA · A TV no morro	HILL · The TV on the hillside	COLINA · La TV en el cerro	التل · التلفاز على التل	언덕 · 언덕 위의 TV	丘 · 丘の上のテレビ	山丘 · 山坡上的电视	पहाड़ी · पहाड़ी पर टीवी	BUKIT · TV di atas bukit	ХОЛМ · Телевизор на склоне
Colunas	Columns	Columnas	الأعمدة	열	列	列	कॉलम	Kolom	Столбцы
Colunas X	X columns	Columnas X	أعمدة X	X 열	X列	X 列	X कॉलम	Kolom X	Столбцы X
Combinar caminhos	Merge paths	Combinar trazados	دمج المسارات	패스 병합	パスを結合	合并路径	पाथ मिलाएँ	Gabungkan jalur	Объединить пути
Comece adicionando uma mídia, um texto ou uma forma.	Start by adding a media file, a text or a shape.	Empieza añadiendo un archivo multimedia, un texto o una forma.	ابدأ بإضافة وسائط أو نص أو شكل.	미디어, 텍스트 또는 도형을 추가하며 시작하세요.	メディア、テキスト、またはシェイプを追加して始めましょう。	先添加一个媒体、文本或形状吧。	मीडिया, टेक्स्ट या आकार जोड़कर शुरू करें।	Mulai dengan menambahkan media, teks, atau bentuk.	Начните с добавления медиа, текста или фигуры.
Comeco	Beginning	Comienzo	البداية	시작	始まり	开头	शुरुआत	Awal	Начало
Como fazer acontecer de novo (opcional)	How to make it happen again (optional)	Cómo hacer que vuelva a ocurrir (opcional)	كيف يمكن تكراره (اختياري)	다시 발생시키는 방법 (선택 사항)	再現する方法 (任意)	如何让它再次发生 (可选)	इसे दोबारा कैसे करें (वैकल्पिक)	Cara membuatnya terjadi lagi (opsional)	Как повторить это (необязательно)
Como usar o AUREA	How to use AUREA	Cómo usar AUREA	كيفية استخدام AUREA	AUREA 사용법	AUREAの使い方	如何使用 AUREA	AUREA का उपयोग कैसे करें	Cara menggunakan AUREA	Как пользоваться AUREA
Como usar o editor	How to use the editor	Cómo usar el editor	كيفية استخدام المحرر	편집기 사용법	エディターの使い方	如何使用编辑器	एडिटर का उपयोग कैसे करें	Cara menggunakan editor	Как пользоваться редактором
Como usar os efeitos	How to use effects	Cómo usar los efectos	كيفية استخدام التأثيرات	효과 사용법	エフェクトの使い方	如何使用效果	इफ़ेक्ट का उपयोग कैसे करें	Cara menggunakan efek	Как пользоваться эффектами
Compartilhar criações	Share creations	Compartir creaciones	مشاركة الإبداعات	작품 공유	作品を共有	分享作品	रचनाएँ साझा करें	Bagikan karya	Поделиться работами
COMPOSIÇÃO	COMPOSITION	COMPOSICIÓN	التركيب	컴포지션	コンポジション	合成	कंपोज़िशन	KOMPOSISI	КОМПОЗИЦИЯ
Comum	Common	Común	شائع	일반	一般	常规	सामान्य	Umum	Обычный
Comunidade ativa	Active community	Comunidad activa	مجتمع نشط	활발한 커뮤니티	活発なコミュニティ	活跃的社区	सक्रिय समुदाय	Komunitas aktif	Активное сообщество
Concluir	Finish	Finalizar	إنهاء	완료	完了	完成	पूरा करें	Selesai	Завершить
Cone	Cone	Cono	مخروط	원뿔	円錐	圆锥	शंकु	Kerucut	Конус
Congelar	Freeze	Congelar	تجميد	프리즈	フリーズ	冻结	फ़्रीज़ करें	Bekukan	Заморозить
Congelar aqui	Freeze here	Congelar aquí	تجميد هنا	여기서 프리즈	ここでフリーズ	在此冻结	यहाँ फ़्रीज़ करें	Bekukan di sini	Заморозить здесь
Congelar pontas	Freeze ends	Congelar extremos	تجميد الأطراف	양끝 고정	両端を固定	冻结两端	सिरे फ़्रीज़ करें	Bekukan ujung	Заморозить края
Congelar quadro	Freeze frame	Congelar fotograma	تجميد الإطار	프레임 고정	フレームを固定	定格画面	फ़्रेम फ़्रीज़ करें	Bekukan frame	Стоп-кадр
Constroi x desenha	Build vs draw	Construir vs dibujar	البناء مقابل الرسم	빌드 vs 그리기	ビルド vs 描画	构建 vs 绘制	बिल्ड बनाम ड्रॉ	Bangun vs gambar	Сборка vs отрисовка
Conta Oficial do Criador	Creator's Official Account	Cuenta oficial del creador	الحساب الرسمي للمنشئ	제작자 공식 계정	制作者の公式アカウント	创作者官方账号	क्रिएटर का आधिकारिक खाता	Akun Resmi Kreator	Официальный аккаунт создателя
Continuar em segundo plano	Continue in background	Continuar en segundo plano	المتابعة في الخلفية	백그라운드에서 계속	バックグラウンドで続行	在后台继续	बैकग्राउंड में जारी रखें	Lanjutkan di latar belakang	Продолжить в фоне
Conversa	Chat	Chat	محادثة	대화	チャット	聊天	चैट	Obrolan	Чат
Converter para parametrica	Convert to parametric	Convertir en paramétrica	تحويل إلى شكل بارامتري	파라메트릭으로 변환	パラメトリックに変換	转换为参数化	पैरामीट्रिक में बदलें	Ubah ke parametrik	Преобразовать в параметрическую
Copiar	Copy	Copiar	نسخ	복사	コピー	复制	कॉपी करें	Salin	Копировать
Copiar caminho	Copy path	Copiar ruta	نسخ المسار	경로 복사	パスをコピー	复制路径	पाथ कॉपी करें	Salin jalur	Копировать путь
Copiar curva	Copy curve	Copiar curva	نسخ المنحنى	곡선 복사	カーブをコピー	复制曲线	कर्व कॉपी करें	Salin kurva	Копировать кривую
Copiar código de acesso	Copy access code	Copiar código de acceso	نسخ رمز الوصول	액세스 코드 복사	アクセスコードをコピー	复制访问码	एक्सेस कोड कॉपी करें	Salin kode akses	Копировать код доступа
Copiar meu código de acesso	Copy my access code	Copiar mi código de acceso	نسخ رمز الوصول الخاص بي	내 액세스 코드 복사	自分のアクセスコードをコピー	复制我的访问码	मेरा एक्सेस कोड कॉपी करें	Salin kode akses saya	Копировать мой код доступа
Copiar relatorio	Copy report	Copiar informe	نسخ التقرير	보고서 복사	レポートをコピー	复制报告	रिपोर्ट कॉपी करें	Salin laporan	Копировать отчёт
Copiar tudo	Copy all	Copiar todo	نسخ الكل	모두 복사	すべてコピー	全部复制	सब कॉपी करें	Salin semua	Копировать всё
Cor base	Base color	Color base	اللون الأساسي	기본 색상	ベースカラー	基础颜色	आधार रंग	Warna dasar	Базовый цвет
Cor da luz	Light color	Color de la luz	لون الضوء	조명 색상	ライトの色	灯光颜色	प्रकाश का रंग	Warna cahaya	Цвет света
Cor da neblina	Fog color	Color de la niebla	لون الضباب	안개 색상	フォグの色	雾的颜色	कोहरे का रंग	Warna kabut	Цвет тумана
Cor do ceu	Sky color	Color del cielo	لون السماء	하늘 색상	空の色	天空颜色	आकाश का रंग	Warna langit	Цвет неба
Cor do chao	Ground color	Color del suelo	لون الأرضية	바닥 색상	地面の色	地面颜色	ज़मीन का रंग	Warna lantai	Цвет земли
Cor do fundo	Background color	Color de fondo	لون الخلفية	배경 색상	背景色	背景颜色	बैकग्राउंड का रंग	Warna latar belakang	Цвет фона
Cor do material	Material color	Color del material	لون الخامة	재질 색상	マテリアルの色	材质颜色	मैटेरियल का रंग	Warna material	Цвет материала
Cor final	End color	Color final	اللون النهائي	끝 색상	終了色	结束颜色	अंतिम रंग	Warna akhir	Конечный цвет
Cores e distribuicao	Colors and distribution	Colores y distribución	الألوان والتوزيع	색상 및 분포	色と分布	颜色与分布	रंग और वितरण	Warna dan distribusi	Цвета и распределение
Correções de áudio e keyframes, melhorias no 3D, novos efeitos e transições.	Audio and keyframe fixes, 3D improvements, new effects and transitions.	Correcciones de audio y fotogramas clave, mejoras en 3D, nuevos efectos y transiciones.	إصلاحات للصوت والإطارات المفتاحية، تحسينات في الثلاثي الأبعاد، وتأثيرات وانتقالات جديدة.	오디오 및 키프레임 수정, 3D 개선, 새로운 효과와 전환.	音声とキーフレームの修正、3Dの改善、新しいエフェクトとトランジション。	音频与关键帧修复、3D改进、新效果和转场。	ऑडियो और कीफ़्रेम सुधार, 3D में सुधार, नए इफ़ेक्ट और ट्रांज़िशन।	Perbaikan audio dan keyframe, peningkatan 3D, efek dan transisi baru.	Исправления звука и ключевых кадров, улучшения 3D, новые эффекты и переходы.
Cortar em todas as marcas	Cut at all markers	Cortar en todas las marcas	قص عند كل العلامات	모든 마커에서 자르기	すべてのマーカーでカット	在所有标记处剪切	सभी मार्कर पर काटें	Potong di semua penanda	Разрезать по всем меткам
Cortar nas batidas	Cut on the beats	Cortar en los beats	قص على الإيقاع	비트에 맞춰 자르기	ビートでカット	按节拍剪切	बीट पर काटें	Potong pada ketukan	Разрезать по битам
Crescer e encolher junto	Grow and shrink together	Crecer y encoger juntos	التكبير والتصغير معًا	함께 커지고 작아지기	一緒に拡大・縮小	一起放大缩小	साथ में बढ़ें और सिकुड़ें	Membesar dan mengecil bersama	Расти и сжиматься вместе
Criador	Creator	Creador	المنشئ	제작자	制作者	创作者	क्रिएटर	Kreator	Создатель
Criar a cena 3D em cima do vídeo	Create the 3D scene on top of the video	Crear la escena 3D sobre el vídeo	إنشاء المشهد ثلاثي الأبعاد فوق الفيديو	동영상 위에 3D 장면 만들기	動画の上に3Dシーンを作成	在视频上创建3D场景	वीडियो के ऊपर 3D दृश्य बनाएँ	Buat adegan 3D di atas video	Создать 3D-сцену поверх видео
Criar a câmera 3D	Create the 3D camera	Crear la cámara 3D	إنشاء الكاميرا ثلاثية الأبعاد	3D 카메라 만들기	3Dカメラを作成	创建3D摄像机	3D कैमरा बनाएँ	Buat kamera 3D	Создать 3D-камеру
Criar Conta	Create Account	Crear cuenta	إنشاء حساب	계정 만들기	アカウントを作成	创建账号	खाता बनाएँ	Buat Akun	Создать аккаунт
Criar do SRT colado	Create from pasted SRT	Crear desde el SRT pegado	إنشاء من ملف SRT الملصق	붙여넣은 SRT로 만들기	貼り付けたSRTから作成	从粘贴的SRT创建	पेस्ट किए गए SRT से बनाएँ	Buat dari SRT yang ditempel	Создать из вставленного SRT
Criar Minha Conta no Cloudflare	Create My Cloudflare Account	Crear mi cuenta en Cloudflare	إنشاء حسابي في Cloudflare	내 Cloudflare 계정 만들기	Cloudflareアカウントを作成	创建我的Cloudflare账号	Cloudflare पर मेरा खाता बनाएँ	Buat Akun Cloudflare Saya	Создать мой аккаунт Cloudflare
Criar nulo e linkar	Create null and link	Crear nulo y vincular	إنشاء كائن فارغ وربطه	널 만들고 연결	ヌルを作成してリンク	创建空对象并关联	नल बनाएँ और लिंक करें	Buat null dan tautkan	Создать нулевой объект и связать
Criar projeto	Create project	Crear proyecto	إنشاء مشروع	프로젝트 만들기	プロジェクトを作成	创建项目	प्रोजेक्ट बनाएँ	Buat proyek	Создать проект
Crie 2+ keyframes neste parametro e leve o\nplayhead para DENTRO do trecho entre eles.	Create 2+ keyframes on this parameter and move the\nplayhead INSIDE the span between them.	Crea 2+ fotogramas clave en este parámetro y lleva el\ncabezal DENTRO del tramo entre ellos.	أنشئ إطارين مفتاحيين أو أكثر في هذا المعامل وانقل\nمؤشر التشغيل إلى داخل المقطع بينهما.	이 매개변수에 키프레임을 2개 이상 만들고\n재생 헤드를 그 사이 구간 안으로 옮기세요.	このパラメータにキーフレームを2つ以上作成し、\n再生ヘッドをその間の区間内に移動してください。	在此参数上创建2个以上关键帧，并把\n播放头移到它们之间的区间内。	इस पैरामीटर पर 2+ कीफ़्रेम बनाएँ और\nप्लेहेड को उनके बीच के हिस्से के अंदर ले जाएँ।	Buat 2+ keyframe pada parameter ini dan bawa\nplayhead ke DALAM rentang di antara keduanya.	Создайте 2+ ключевых кадра для этого параметра и поставьте\nкурсор воспроизведения ВНУТРЬ отрезка между ними.
Crie outro Nulo 3D para usar como controlador (o proprio nulo da grade nao conta).	Create another 3D Null to use as a controller (the grid's own null doesn't count).	Crea otro Nulo 3D para usarlo como controlador (el propio nulo de la cuadrícula no cuenta).	أنشئ كائنًا فارغًا ثلاثي الأبعاد آخر لاستخدامه كمتحكم (الكائن الفارغ الخاص بالشبكة لا يُحتسب).	컨트롤러로 사용할 다른 3D 널을 만드세요 (그리드 자체의 널은 해당되지 않습니다).	コントローラーとして使う別の3Dヌルを作成してください（グリッド自身のヌルは対象外です）。	再创建一个3D空对象作为控制器（网格自身的空对象不算）。	कंट्रोलर के रूप में उपयोग के लिए एक और 3D नल बनाएँ (ग्रिड का अपना नल नहीं गिना जाता)।	Buat Null 3D lain untuk dipakai sebagai pengendali (null milik grid sendiri tidak dihitung).	Создайте ещё один 3D-нуль для использования как контроллер (собственный нуль сетки не считается).
Crie pelo menos 2 keyframes\npara editar a curva.	Create at least 2 keyframes\nto edit the curve.	Crea al menos 2 fotogramas clave\npara editar la curva.	أنشئ إطارين مفتاحيين على الأقل\nلتعديل المنحنى.	곡선을 편집하려면\n키프레임을 2개 이상 만드세요.	カーブを編集するには\nキーフレームを2つ以上作成してください。	至少创建2个关键帧\n才能编辑曲线。	कर्व संपादित करने के लिए\nकम से कम 2 कीफ़्रेम बनाएँ।	Buat minimal 2 keyframe\nuntuk mengedit kurva.	Создайте не менее 2 ключевых кадров,\nчтобы редактировать кривую.
Cruzar audio junto	Crossfade audio too	Cruzar también el audio	مزج الصوت أيضًا	오디오도 함께 크로스페이드	音声もクロスフェード	音频一起交叉淡化	ऑडियो भी क्रॉसफ़ेड करें	Crossfade audio juga	Кроссфейд звука тоже
Cubo, esfera, plano, cilindro, cone, toro e mais. Ou importe um modelo.	Cube, sphere, plane, cylinder, cone, torus and more. Or import a model.	Cubo, esfera, plano, cilindro, cono, toro y más. O importa un modelo.	مكعب، كرة، مستوى، أسطوانة، مخروط، حلقة والمزيد. أو استورد نموذجًا.	큐브, 구, 평면, 원기둥, 원뿔, 토러스 등. 또는 모델을 가져오세요.	立方体、球、平面、円柱、円錐、トーラスなど。またはモデルを読み込めます。	立方体、球体、平面、圆柱、圆锥、圆环等。或者导入模型。	क्यूब, गोला, समतल, बेलन, शंकु, टोरस और भी। या कोई मॉडल इंपोर्ट करें।	Kubus, bola, bidang, silinder, kerucut, torus, dan lainnya. Atau impor model.	Куб, сфера, плоскость, цилиндр, конус, тор и другие. Или импортируйте модель.
Curva	Curve	Curva	منحنى	곡선	カーブ	曲线	कर्व	Kurva	Кривая
Curva anterior	Previous curve	Curva anterior	المنحنى السابق	이전 곡선	前のカーブ	上一条曲线	पिछला कर्व	Kurva sebelumnya	Предыдущая кривая
Curva compartilhada	Shared curve	Curva compartida	منحنى مشترك	공유 곡선	共有カーブ	共享曲线	साझा कर्व	Kurva bersama	Общая кривая
Curva do movimento	Motion curve	Curva del movimiento	منحنى الحركة	움직임 곡선	モーションカーブ	运动曲线	गति कर्व	Kurva gerakan	Кривая движения
Custa GPU: uma luz com sombra costuma bastar.	Costs GPU: one shadow-casting light is usually enough.	Consume GPU: una luz con sombra suele bastar.	يستهلك GPU: عادةً يكفي ضوء واحد بظل.	GPU를 소모합니다: 그림자가 있는 조명 하나면 보통 충분합니다.	GPUを消費します。影付きライトは通常1つで十分です。	消耗GPU：通常一盏带阴影的灯光就够了。	GPU खर्च होता है: छाया वाला एक प्रकाश आमतौर पर काफ़ी होता है।	Membebani GPU: satu cahaya dengan bayangan biasanya cukup.	Нагружает GPU: обычно достаточно одного источника света с тенью.
Cíclico	Cyclic	Cíclico	دوري	순환	循環	循环	चक्रीय	Siklik	Циклический
Código de Acesso Mestre	Master Access Code	Código de acceso maestro	رمز الوصول الرئيسي	마스터 액세스 코드	マスターアクセスコード	主访问码	मास्टर एक्सेस कोड	Kode Akses Utama	Мастер-код доступа
Da camada	From layer	De la capa	من الطبقة	레이어에서	レイヤーから	来自图层	लेयर से	Dari lapisan	Из слоя
Dados	Data	Datos	البيانات	데이터	データ	数据	डेटा	Data	Данные
De-esser	De-esser	De-esser	مزيل الصفير	디에서	ディエッサー	齿音消除	डी-एसर	De-esser	Деэссер
Decaimento	Decay	Decaimiento	الاضمحلال	감쇠	減衰	衰减	क्षय	Peluruhan	Затухание
Definir como chão	Set as ground	Definir como suelo	تعيين كأرضية	바닥으로 설정	地面に設定	设为地面	ज़मीन के रूप में सेट करें	Jadikan lantai	Сделать землёй
Degrade	Gradient	Degradado	تدرج لوني	그라데이션	グラデーション	渐变	ग्रेडिएंट	Gradasi	Градиент
Degraus	Steps	Escalones	درجات	계단	ステップ	阶梯	स्टेप्स	Bertahap	Ступени
Deixe o app aberto nesta tela ate terminar.	Keep the app open on this screen until it finishes.	Deja la app abierta en esta pantalla hasta que termine.	أبقِ التطبيق مفتوحًا على هذه الشاشة حتى الانتهاء.	완료될 때까지 이 화면에서 앱을 열어 두세요.	完了するまでこの画面でアプリを開いたままにしてください。	请让应用停留在此界面，直到完成。	पूरा होने तक ऐप को इसी स्क्रीन पर खुला रखें।	Biarkan aplikasi tetap terbuka di layar ini sampai selesai.	Оставьте приложение открытым на этом экране до завершения.
Densidade	Density	Densidad	الكثافة	밀도	密度	密度	घनत्व	Kepadatan	Плотность
Densidade da neblina	Fog density	Densidad de la niebla	كثافة الضباب	안개 밀도	フォグの密度	雾密度	कोहरे का घनत्व	Kepadatan kabut	Плотность тумана
Dentro do clipe	Inside the clip	Dentro del clip	داخل المقطع	클립 안에	クリップ内	剪辑内	क्लिप के अंदर	Di dalam klip	Внутри клипа
DERIVA · O astronauta perdido	DRIFT · The lost astronaut	DERIVA · El astronauta perdido	انجراف · رائد الفضاء المفقود	표류 · 길 잃은 우주비행사	漂流 · 迷子の宇宙飛行士	漂流 · 迷失的宇航员	बहाव · खोया हुआ अंतरिक्ष यात्री	HANYUT · Astronaut yang hilang	ДРЕЙФ · Потерянный астронавт
Desacelerar	Decelerate	Desacelerar	تباطؤ	감속	減速	减速	धीमा करें	Perlambat	Замедление
Desagrupar	Ungroup	Desagrupar	فك التجميع	그룹 해제	グループ解除	取消编组	अनग्रुप करें	Pisahkan grup	Разгруппировать
Descer	Move down	Bajar	تحريك لأسفل	아래로	下へ	下移	नीचे ले जाएँ	Turunkan	Вниз
Desempenho e limites	Performance and limits	Rendimiento y límites	الأداء والحدود	성능 및 한계	パフォーマンスと制限	性能与限制	प्रदर्शन और सीमाएँ	Performa dan batasan	Производительность и ограничения
Desenhar com OpenGL ES	Draw with OpenGL ES	Dibujar con OpenGL ES	الرسم باستخدام OpenGL ES	OpenGL ES로 그리기	OpenGL ESで描画	使用OpenGL ES绘制	OpenGL ES से बनाएँ	Gambar dengan OpenGL ES	Рисовать через OpenGL ES
Desenhar os dois lados	Draw both sides	Dibujar ambos lados	رسم الجانبين	양면 그리기	両面を描画	绘制双面	दोनों तरफ़ बनाएँ	Gambar kedua sisi	Рисовать обе стороны
Desenho livre · arraste na prévia	Freehand · drag on the preview	Dibujo libre · arrastra en la vista previa	رسم حر · اسحب على المعاينة	자유 그리기 · 미리보기에서 드래그	フリーハンド · プレビューでドラッグ	自由绘制 · 在预览中拖动	फ़्री ड्रॉइंग · पूर्वावलोकन पर खींचें	Gambar bebas · seret pada pratinjau	Свободное рисование · тяните на предпросмотре
Desfazer	Undo	Deshacer	تراجع	실행 취소	元に戻す	撤销	पूर्ववत करें	Urungkan	Отменить
Desfocar fundo	Blur background	Desenfocar fondo	تمويه الخلفية	배경 흐리게	背景をぼかす	模糊背景	बैकग्राउंड धुंधला करें	Buramkan latar belakang	Размыть фон
Desfoque	Blur	Desenfoque	تمويه	흐림	ぼかし	模糊	धुंधलापन	Buram	Размытие
Deslizar	Slide	Deslizar	انزلاق	슬라이드	スライド	滑动	स्लाइड	Geser	Сдвиг
Deslize aqui para mover a camada	Swipe here to move the layer	Desliza aquí para mover la capa	اسحب هنا لتحريك الطبقة	여기서 밀어 레이어를 이동하세요	ここをスワイプしてレイヤーを移動	在此滑动以移动图层	लेयर हिलाने के लिए यहाँ स्वाइप करें	Geser di sini untuk memindahkan lapisan	Проведите здесь, чтобы переместить слой
Diagnostico na tela	On-screen diagnostics	Diagnóstico en pantalla	تشخيص على الشاشة	화면 진단	画面上の診断	屏幕诊断	स्क्रीन पर डायग्नोस्टिक	Diagnostik di layar	Диагностика на экране
Dicas • Scene 3D	Tips • 3D scene	Consejos • Escena 3D	نصائح • مشهد ثلاثي الأبعاد	도움말 • 3D 장면	ヒント • 3Dシーン	提示 • 3D场景	सुझाव • 3D दृश्य	Tips • Adegan 3D	Советы • 3D-сцена
Direcao X	X direction	Dirección X	الاتجاه X	X 방향	X方向	X方向	X दिशा	Arah X	Направление X
Direcao Y	Y direction	Dirección Y	الاتجاه Y	Y 방향	Y方向	Y方向	Y दिशा	Arah Y	Направление Y
Direcao Z	Z direction	Dirección Z	الاتجاه Z	Z 방향	Z方向	Z方向	Z दिशा	Arah Z	Направление Z
Direcao, posicao, alcance, cone, suavidade.	Direction, position, range, cone, softness.	Dirección, posición, alcance, cono, suavidad.	الاتجاه، الموضع، المدى، المخروط، النعومة.	방향, 위치, 범위, 원뿔, 부드러움.	方向、位置、範囲、コーン、柔らかさ。	方向、位置、范围、锥角、柔和度。	दिशा, स्थिति, रेंज, कोन, कोमलता।	Arah, posisi, jangkauan, kerucut, kelembutan.	Направление, позиция, дальность, конус, мягкость.
Direcional, de ponto, ambiente ou spot.	Directional, point, ambient or spot.	Direccional, de punto, ambiental o foco.	اتجاهي، نقطي، محيطي أو كشاف.	방향광, 점광, 환경광 또는 스포트라이트.	平行光、点光源、環境光、スポットライト。	平行光、点光、环境光或聚光灯。	डायरेक्शनल, पॉइंट, एम्बिएंट या स्पॉट।	Directional, titik, ambient, atau spot.	Направленный, точечный, окружающий или прожектор.
Distancia focal	Focal length	Distancia focal	البعد البؤري	초점 거리	焦点距離	焦距	फ़ोकल लंबाई	Jarak fokus	Фокусное расстояние
Distancia focal e projecao ortografica.	Focal length and orthographic projection.	Distancia focal y proyección ortográfica.	البعد البؤري والإسقاط المتعامد.	초점 거리와 직교 투영.	焦点距離と正射影。	焦距与正交投影。	फ़ोकल लंबाई और ऑर्थोग्राफ़िक प्रोजेक्शन।	Jarak fokus dan proyeksi ortografis.	Фокусное расстояние и ортографическая проекция.
Distorcao e revelacao	Distortion and reveal	Distorsión y revelación	تشويه وكشف	왜곡 및 리빌	歪みとリビール	扭曲与显现	विकृति और रिवील	Distorsi dan pengungkapan	Искажение и раскрытие
Distribuir	Distribute	Distribuir	توزيع	분배	分布	分布	वितरित करें	Distribusikan	Распределить
Distribuir as camadas nas marcas	Distribute the layers on the markers	Distribuir las capas en las marcas	توزيع الطبقات على العلامات	마커에 레이어 분배	マーカーにレイヤーを配置	将图层分布到标记上	लेयर को मार्कर पर बाँटें	Distribusikan lapisan pada penanda	Распределить слои по меткам
Dividir a camada no cabeçote	Split the layer at the playhead	Dividir la capa en el cabezal	تقسيم الطبقة عند مؤشر التشغيل	재생 헤드에서 레이어 분할	再生ヘッドでレイヤーを分割	在播放头处分割图层	प्लेहेड पर लेयर विभाजित करें	Pisahkan lapisan di playhead	Разделить слой по курсору воспроизведения
Dividir camada	Split layer	Dividir capa	تقسيم الطبقة	레이어 분할	レイヤーを分割	分割图层	लेयर विभाजित करें	Pisahkan lapisan	Разделить слой
Do zero ao primeiro motion	From zero to your first motion	De cero al primer motion	من الصفر إلى أول موشن	처음부터 첫 모션까지	ゼロから最初のモーションまで	从零开始做出第一个动效	शून्य से पहले मोशन तक	Dari nol ke motion pertama	С нуля до первого моушена
Drawing Progress: a linha se desenhando, o contorno animado.	Drawing Progress: the line drawing itself, the animated outline.	Drawing Progress: la línea dibujándose, el contorno animado.	Drawing Progress: الخط يرسم نفسه، والحدود متحركة.	Drawing Progress: 선이 스스로 그려지는 애니메이션 윤곽선.	Drawing Progress：線が描かれていく、アニメーションする輪郭。	Drawing Progress：线条自己画出来，轮廓动起来。	Drawing Progress: लाइन खुद बनती हुई, एनिमेटेड रूपरेखा।	Drawing Progress: garis menggambar dirinya sendiri, garis tepi beranimasi.	Drawing Progress: линия рисует сама себя, анимированный контур.
Dupla face	Double-sided	Doble cara	ذو وجهين	양면	両面	双面	दोतरफ़ा	Dua sisi	Двусторонний
Duplicar camada	Duplicate layer	Duplicar capa	تكرار الطبقة	레이어 복제	レイヤーを複製	复制图层	लेयर डुप्लिकेट करें	Duplikat lapisan	Дублировать слой
Duracao	Duration	Duración	المدة	길이	長さ	时长	अवधि	Durasi	Длительность
Duracao interna	Internal duration	Duración interna	المدة الداخلية	내부 길이	内部の長さ	内部时长	आंतरिक अवधि	Durasi internal	Внутренняя длительность
Ease in	Ease in	Ease in	تخفيف الدخول	이즈 인	イーズイン	缓入	ईज़ इन	Ease in	Плавный вход
Ease in-out	Ease in-out	Ease in-out	تخفيف الدخول والخروج	이즈 인아웃	イーズインアウト	缓入缓出	ईज़ इन-आउट	Ease in-out	Плавный вход и выход
Ease out	Ease out	Ease out	تخفيف الخروج	이즈 아웃	イーズアウト	缓出	ईज़ आउट	Ease out	Плавный выход
Editar apelido	Edit nickname	Editar apodo	تعديل الاسم المستعار	닉네임 편집	ニックネームを編集	编辑昵称	उपनाम संपादित करें	Edit nama panggilan	Изменить никнейм
Editar curva da propriedade	Edit property curve	Editar curva de la propiedad	تعديل منحنى الخاصية	속성 곡선 편집	プロパティのカーブを編集	编辑属性曲线	प्रॉपर्टी कर्व संपादित करें	Edit kurva properti	Редактировать кривую свойства
Editar curva de tempo	Edit time curve	Editar curva de tiempo	تعديل منحنى الوقت	시간 곡선 편집	時間カーブを編集	编辑时间曲线	समय कर्व संपादित करें	Edit kurva waktu	Редактировать кривую времени
